from	to	combined_score
39947.A0A024FLK4	39947.A0A0P0W9W2	909
39947.A0A024FLK4	39947.A0A0P0W9W2	909
39947.A0A024FLK4	39947.Q10N79	633
39947.A0A024FLK4	39947.Q10N79	633
39947.A0A024FLK4	39947.Q6AUR2	507
39947.A0A024FLK4	39947.Q6AUR2	507
39947.Q10N79	39947.Q6AUR2	697
39947.Q10N79	39947.Q6AUR2	697
39947.A0A024FLK4	39947.Q6ZDY8	909
39947.A0A024FLK4	39947.Q6ZDY8	909
39947.A0A0P0W9W2	39947.Q6ZDY8	768
39947.A0A0P0W9W2	39947.Q6ZDY8	768
39947.A0A024FLK4	39947.Q84VK7	908
39947.A0A024FLK4	39947.Q84VK7	908
39947.Q6ZDY8	39947.Q84VK7	996
39947.Q6ZDY8	39947.Q84VK7	996
39947.A0A0P0VVB3	39947.A0A0P0VXF0	998
39947.A0A0P0VVB3	39947.A0A0P0VXF0	998
39947.A0A0P0VVB3	39947.A0A0P0WAF3	636
39947.A0A0P0VVB3	39947.A0A0P0WAF3	636
39947.A0A0P0VXF0	39947.A0A0P0WAF3	512
39947.A0A0P0VXF0	39947.A0A0P0WAF3	512
39947.A0A0P0VVB3	39947.A0A0P0WIA1	457
39947.A0A0P0VVB3	39947.A0A0P0WIA1	457
39947.A0A0P0WAF3	39947.A0A0P0WIA1	454
39947.A0A0P0WAF3	39947.A0A0P0WIA1	454
39947.A0A0P0W9W2	39947.A0A0P0WIG6	983
39947.A0A0P0W9W2	39947.A0A0P0WIG6	983
39947.Q6ZDY8	39947.A0A0P0WIG6	543
39947.Q6ZDY8	39947.A0A0P0WIG6	543
39947.A0A0P0VVB3	39947.B9FNL5	492
39947.A0A0P0VVB3	39947.B9FNL5	492
39947.A0A0P0VXF0	39947.B9FNL5	644
39947.A0A0P0VXF0	39947.B9FNL5	644
39947.A0A0P0WAF3	39947.B9FNL5	638
39947.A0A0P0WAF3	39947.B9FNL5	638
39947.A0A0P0WIA1	39947.B9FNL5	799
39947.A0A0P0WIA1	39947.B9FNL5	799
39947.A0A0P0VVB3	39947.C7J4K5	536
39947.A0A0P0VVB3	39947.C7J4K5	536
39947.A0A0P0VXF0	39947.C7J4K5	468
39947.A0A0P0VXF0	39947.C7J4K5	468
39947.A0A0P0WAF3	39947.C7J4K5	576
39947.A0A0P0WAF3	39947.C7J4K5	576
39947.B9FNL5	39947.C7J4K5	797
39947.B9FNL5	39947.C7J4K5	797
39947.A0A0P0VVB3	39947.Q60F40	672
39947.A0A0P0VVB3	39947.Q60F40	672
39947.A0A0P0VXF0	39947.Q60F40	618
39947.A0A0P0VXF0	39947.Q60F40	618
39947.A0A0P0WAF3	39947.Q60F40	434
39947.A0A0P0WAF3	39947.Q60F40	434
39947.A0A0P0WIA1	39947.Q60F40	436
39947.A0A0P0WIA1	39947.Q60F40	436
39947.B9FNL5	39947.Q60F40	662
39947.B9FNL5	39947.Q60F40	662
39947.C7J4K5	39947.Q60F40	632
39947.C7J4K5	39947.Q60F40	632
39947.A0A0P0VVB3	39947.Q6AUI3	566
39947.A0A0P0VVB3	39947.Q6AUI3	566
39947.A0A0P0WAF3	39947.Q6AUI3	508
39947.A0A0P0WAF3	39947.Q6AUI3	508
39947.A0A0P0WIA1	39947.Q6AUI3	751
39947.A0A0P0WIA1	39947.Q6AUI3	751
39947.B9FNL5	39947.Q6AUI3	885
39947.B9FNL5	39947.Q6AUI3	885
39947.Q60F40	39947.Q6AUI3	456
39947.Q60F40	39947.Q6AUI3	456
39947.A0A0P0VVB3	39947.Q7F1M0	966
39947.A0A0P0VVB3	39947.Q7F1M0	966
39947.A0A0P0VXF0	39947.Q7F1M0	795
39947.A0A0P0VXF0	39947.Q7F1M0	795
39947.A0A0P0WAF3	39947.Q7F1M0	611
