ensembl_gene_id	chromosome_name	start_position	end_position	external_gene_name
Os03g0108700	3	508894	510314	""
Os03g0108800	3	510643	514759	""
Os03g0108932	3	511890	514744	""
Os03g0109000	3	524008	525278	ONAC055
Os03g0109300	3	537614	542549	LOGL3
Os03g0109350	3	537689	539326	""
Os03g0109400	3	549933	557886	HOX10
Os03g0109450	3	550922	557560	""
Os03g0109500	3	559280	559911	OsRPS17
Os03g0109600	3	560366	562685	Osj3g1BTF3
Os03g0109650	3	563316	564412	""
Os03g0109700	3	567987	570850	""
Os03g0109800	3	571092	573992	""
Os03g0109900	3	574269	580537	""
Os03g0110300	3	598920	599960	""
Os03g0110400	3	602507	609330	""
Os03g0110500	3	609881	614424	OSJNBb0043C10.3
Os03g0110600	3	616425	623627	""
ENSRNA049446133	3	624645	624716	tRNA-Thr
Os03g0110700	3	632592	636205	""
Os03g0110800	3	632664	636333	DRM2
Os03g0110900	3	636744	639366	""
Os03g0111000	3	639561	640077	OsCLE301
Os03g0111100	3	640597	645631	""
Os03g0111200	3	647000	649463	OsREM1.3
Os03g0111300	3	652323	652798	nsLTP2
Os03g0111400	3	656536	657827	""
Os03g0111500	3	658654	661346	""
Os03g0111600	3	662303	666757	""
Os03g0111700	3	666268	674025	""
Os03g0111800	3	674687	681881	""
Os03g0112101	3	697964	702761	""
Os03g0112400	3	706174	708606	""
Os03g0112600	3	713808	714995	""
Os03g0112700	3	717447	720837	EHD4
Os03g0112800	3	721115	725224	""
Os03g0112900	3	726370	728004	OsF5HL2
Os03g0112950	3	728791	729846	""
Os03g0113000	3	732488	734247	OsRLCK95
Os03g0113100	3	736183	739777	TK
Os03g0113200	3	740409	743152	OsFbox126
Os03g0113500	3	752025	756172	""
ENSRNA049473850	3	765728	765856	mir-166
Os03g0113700	3	766760	771257	OsISC24
Os03g0113750	3	767037	769609	""
Os03g0113800	3	771445	776984	""
Os03g0113900	3	781076	781879	OsS40-4
Os03g0114000	3	788208	791569	""
Os03g0114100	3	793552	794489	""
Os03g0114200	3	795385	798116	OSJNBa0090O10.11
Os03g0114300	3	800033	809279	""
Os03g0114400	3	812826	814725	OSJNBa0090O10.13
Os03g0114550	3	813099	814739	""
Os03g0114700	3	837760	841532	""
